house_number,street_name,block
223,JALAN PRIMA 7,KELABU
224,JALAN PRIMA 7,KELABU
225,JALAN PRIMA 7,KELABU
226,JALAN PRIMA 7,KELABU
227,JALAN PRIMA 7,KELABU
228,JALAN PRIMA 7,KELABU
229,JALAN PRIMA 7,KELABU
230,JALAN PRIMA 7,KELABU
231,JALAN PRIMA 7,KELABU
232,JALAN PRIMA 7,KELABU
233,JALAN PRIMA 7,KELABU
234,JALAN PRIMA 7,KELABU
235,JALAN PRIMA 7,KELABU
236,JALAN PRIMA 7,KELABU
237,JALAN PRIMA 7,KELABU
238,JALAN PRIMA 7,KELABU
239,JALAN PRIMA 7,KELABU
240,JALAN PRIMA 7,KELABU
241,JALAN PRIMA 7,KELABU
242,JALAN PRIMA 7,KELABU
243,JALAN PRIMA 7,KELABU
244,JALAN PRIMA 7,KELABU
245,JALAN PRIMA 7,KELABU
246,JALAN PRIMA 7,KELABU
247,JALAN PRIMA 7,KELABU
248,JALAN PRIMA 7,KELABU
249,JALAN PRIMA 7,KELABU
250,JALAN PRIMA 7,KELABU
251,JALAN PRIMA 7,KELABU
252,JALAN PRIMA 7,KELABU
253,JALAN PRIMA 7,KELABU
254,JALAN PRIMA 7,KELABU
255,JALAN PRIMA 7,KELABU
256,JALAN PRIMA 7,KELABU
257,JALAN PRIMA 8,KELABU
258,JALAN PRIMA 8,KELABU
259,JALAN PRIMA 8,KELABU
260,JALAN PRIMA 8,KELABU
261,JALAN PRIMA 8,KELABU
262,JALAN PRIMA 8,KELABU
263,JALAN PRIMA 8,KELABU
264,JALAN PRIMA 8,KELABU
265,JALAN PRIMA 8,KELABU
266,JALAN PRIMA 8,KELABU
267,JALAN PRIMA 8,KELABU
268,JALAN PRIMA 8,KELABU
269,JALAN PRIMA 8,KELABU
270,JALAN PRIMA 8,KELABU
271,JALAN PRIMA 8,KELABU
272,JALAN PRIMA 8,KELABU
273,JALAN PRIMA 8,KELABU
274,JALAN PRIMA 8,KELABU
275,JALAN PRIMA 8,KELABU
276,JALAN PRIMA 8,KELABU
277,JALAN PRIMA 8,KELABU
278,JALAN PRIMA 8,KELABU
279,JALAN PRIMA 8,KELABU
280,JALAN PRIMA 8,KELABU
281,JALAN PRIMA 8,KELABU
282,JALAN PRIMA 8,KELABU
283,JALAN PRIMA 8,KELABU
284,JALAN PRIMA 8,KELABU
285,JALAN PRIMA 8,KELABU
286,JALAN PRIMA 8,KELABU
287,JALAN PRIMA 8,KELABU
288,JALAN PRIMA 8,KELABU
289,JALAN PRIMA 8,KELABU
290,JALAN PRIMA 8,KELABU
291,JALAN PRIMA 8,KELABU
292,JALAN PRIMA 8,KELABU
293,JALAN PRIMA 8,KELABU
294,JALAN PRIMA 8,KELABU
295,JALAN PRIMA 8,KELABU
296,JALAN PRIMA 8,KELABU
297,JALAN PRIMA 8,KELABU
298,JALAN PRIMA 8,KELABU
299,JALAN PRIMA 8,KELABU
300,JALAN PRIMA 8,KELABU
301,JALAN PRIMA 8,KELABU
302,JALAN PRIMA 9,KELABU
303,JALAN PRIMA 9,KELABU
304,JALAN PRIMA 9,KELABU
305,JALAN PRIMA 9,KELABU
306,JALAN PRIMA 9,KELABU
307,JALAN PRIMA 9,KELABU
308,JALAN PRIMA 9,KELABU
309,JALAN PRIMA 9,KELABU
310,JALAN PRIMA 9,KELABU
311,JALAN PRIMA 9,KELABU
312,JALAN PRIMA 9,KELABU
313,JALAN PRIMA 9,KELABU
314,JALAN PRIMA 9,KELABU
315,JALAN PRIMA 9,KELABU
316,JALAN PRIMA 9,KELABU
317,JALAN PRIMA 9,KELABU
318,JALAN PRIMA 9,KELABU
319,JALAN PRIMA 9,KELABU
320,JALAN PRIMA 9,KELABU
321,JALAN PRIMA 9,KELABU
322,JALAN PRIMA 9,KELABU
323,JALAN PRIMA 9,KELABU
324,JALAN PRIMA 9,KELABU
325,JALAN PRIMA 9,KELABU
326,JALAN PRIMA 9,KELABU
327,JALAN PRIMA 9,KELABU
328,JALAN PRIMA 9,KELABU
329,JALAN PRIMA 9,KELABU
330,JALAN PRIMA 10,KELABU
331,JALAN PRIMA 10,KELABU
332,JALAN PRIMA 10,KELABU
333,JALAN PRIMA 10,KELABU
334,JALAN PRIMA 10,KELABU
335,JALAN PRIMA 10,KELABU
336,JALAN PRIMA 10,KELABU
337,JALAN PRIMA 10,KELABU
338,JALAN PRIMA 10,KELABU
339,JALAN PRIMA 10,KELABU
340,JALAN PRIMA 10,KELABU
341,JALAN PRIMA 10,KELABU
342,JALAN PRIMA 10,KELABU
343,JALAN PRIMA 10,KELABU
344,JALAN PRIMA 10,KELABU
345,JALAN PRIMA 10,KELABU
346,JALAN PRIMA 10,KELABU
347,JALAN PRIMA 10,KELABU
348,JALAN PRIMA 10,KELABU
349,JALAN PRIMA 10,KELABU
350,JALAN PRIMA 10,KELABU
351,JALAN PRIMA 10,KELABU
352,JALAN PRIMA 10,KELABU
353,JALAN PRIMA 10,KELABU
354,JALAN PRIMA 10,KELABU
355,JALAN PRIMA 10,KELABU
356,JALAN PRIMA 10,KELABU
357,JALAN PRIMA 10,KELABU
358,JALAN PRIMA 11,KELABU
359,JALAN PRIMA 11,KELABU
360,JALAN PRIMA 11,KELABU
361,JALAN PRIMA 11,KELABU
362,JALAN PRIMA 11,KELABU
363,JALAN PRIMA 11,KELABU
364,JALAN PRIMA 11,KELABU
365,JALAN PRIMA 11,KELABU
366,JALAN PRIMA 11,KELABU
367,JALAN PRIMA 11,KELABU
368,JALAN PRIMA 11,KELABU
369,JALAN PRIMA 11,KELABU
370,JALAN PRIMA 11,KELABU
371,JALAN PRIMA 11,KELABU
372,JALAN PRIMA 11,KELABU
373,JALAN PRIMA 11,KELABU
374,JALAN PRIMA 11,KELABU
375,JALAN PRIMA 11,KELABU
376,JALAN PRIMA 11,KELABU
377,JALAN PRIMA 11,KELABU
378,JALAN PRIMA 11,KELABU
379,JALAN PRIMA 11,KELABU
380,JALAN PRIMA 11,KELABU
381,JALAN PRIMA 11,KELABU
382,JALAN PRIMA 11,KELABU
383,JALAN PRIMA 11,KELABU
384,JALAN PRIMA 11,KELABU
385,JALAN PRIMA 11,KELABU
386,JALAN PRIMA 11,KELABU
387,JALAN PRIMA 11,KELABU
388,JALAN PRIMA 11,KELABU
389,JALAN PRIMA 11,KELABU
390,JALAN PRIMA 11,KELABU
391,JALAN PRIMA 11,KELABU
392,JALAN PRIMA 11,KELABU
393,JALAN PRIMA 11,KELABU
394,JALAN PRIMA 11,KELABU
395,JALAN PRIMA 11,KELABU
396,JALAN PRIMA 11,KELABU
397,JALAN PRIMA 11,KELABU
398,JALAN PRIMA 11,KELABU
399,JALAN PRIMA 11,KELABU
400,JALAN PRIMA 11,KELABU
401,JALAN PRIMA 11,KELABU
402,JALAN PRIMA 11,KELABU
403,JALAN PRIMA 11,KELABU
404,JALAN PRIMA 11,KELABU
405,JALAN PRIMA 11,KELABU
406,JALAN PRIMA 11,KELABU
407,JALAN PRIMA 11,KELABU
408,JALAN PRIMA 11,KELABU
409,JALAN PRIMA 11,KELABU
410,JALAN PRIMA 11,KELABU
411,JALAN PRIMA 11,KELABU
412,JALAN PRIMA 11,KELABU
413,JALAN PRIMA 11,KELABU
414,JALAN PRIMA 11,KELABU
415,JALAN PRIMA 11,KELABU
416,JALAN PRIMA 11,KELABU
417,JALAN PRIMA 11,KELABU
418,JALAN PRIMA 11,KELABU
419,JALAN PRIMA 11,KELABU
420,JALAN PRIMA 11,KELABU
421,JALAN PRIMA 11,KELABU
422,JALAN PRIMA 11,KELABU
423,JALAN PRIMA 11,KELABU
424,JALAN PRIMA 11,KELABU
425,JALAN PRIMA 11,KELABU
426,JALAN PRIMA 11,KELABU
427,JALAN PRIMA 11,KELABU
428,JALAN PRIMA 11,KELABU
429,JALAN PRIMA 11,KELABU
430,JALAN PRIMA 11,KELABU
431,JALAN PRIMA 11,KELABU
432,JALAN PRIMA 11,KELABU
433,JALAN PRIMA 12,KELABU
434,JALAN PRIMA 12,KELABU
435,JALAN PRIMA 12,KELABU
436,JALAN PRIMA 12,KELABU
437,JALAN PRIMA 12,KELABU
438,JALAN PRIMA 12,KELABU
439,JALAN PRIMA 12,KELABU
440,JALAN PRIMA 12,KELABU
441,JALAN PRIMA 12,KELABU
442,JALAN PRIMA 12,KELABU
443,JALAN PRIMA 12,KELABU
444,JALAN PRIMA 12,KELABU
445,JALAN PRIMA 12,KELABU
446,JALAN PRIMA 12,KELABU
447,JALAN PRIMA 12,KELABU
448,JALAN PRIMA 12,KELABU
449,JALAN PRIMA 12,KELABU
450,JALAN PRIMA 12,KELABU
451,JALAN PRIMA 12,KELABU
452,JALAN PRIMA 12,KELABU
453,JALAN PRIMA 12,KELABU
454,JALAN PRIMA 12,KELABU
455,JALAN PRIMA 12,KELABU
456,JALAN PRIMA 12,KELABU
457,JALAN PRIMA 12,KELABU
458,JALAN PRIMA 12,KELABU
459,JALAN PRIMA 12,KELABU
460,JALAN PRIMA 12,KELABU
461,JALAN PRIMA 12,KELABU
462,JALAN PRIMA 12,KELABU
463,JALAN PRIMA 12,KELABU
464,JALAN PRIMA 12,KELABU
465,JALAN PRIMA 12,KELABU
466,JALAN PRIMA 12,KELABU
467,JALAN PRIMA 12,KELABU
468,JALAN PRIMA 12,KELABU
469,JALAN PRIMA 12,KELABU
470,JALAN PRIMA 12,KELABU
471,JALAN PRIMA 12,KELABU
472,JALAN PRIMA 12,KELABU
473,JALAN PRIMA 12,KELABU
474,JALAN PRIMA 12,KELABU
475,JALAN PRIMA 12,KELABU
476,JALAN PRIMA 12,KELABU
477,JALAN PRIMA 12,KELABU
478,JALAN PRIMA 12,KELABU
479,JALAN PRIMA 12,KELABU
480,JALAN PRIMA 12,KELABU
481,JALAN PRIMA 12,KELABU
482,JALAN PRIMA 13,MERAH
483,JALAN PRIMA 13,MERAH
484,JALAN PRIMA 13,MERAH
485,JALAN PRIMA 13,MERAH
486,JALAN PRIMA 13,MERAH
487,JALAN PRIMA 13,MERAH
488,JALAN PRIMA 13,MERAH
489,JALAN PRIMA 13,MERAH
490,JALAN PRIMA 13,MERAH
491,JALAN PRIMA 13,MERAH
492,JALAN PRIMA 13,MERAH
493,JALAN PRIMA 13,MERAH
494,JALAN PRIMA 13,MERAH
495,JALAN PRIMA 13,MERAH
496,JALAN PRIMA 13,MERAH
497,JALAN PRIMA 13,MERAH
498,JALAN PRIMA 13,MERAH
499,JALAN PRIMA 13,MERAH
500,JALAN PRIMA 13,MERAH
501,JALAN PRIMA 13,MERAH
502,JALAN PRIMA 13,MERAH
503,JALAN PRIMA 13,MERAH
504,JALAN PRIMA 13,MERAH
505,JALAN PRIMA 13,MERAH
506,JALAN PRIMA 13,MERAH
507,JALAN PRIMA 13,MERAH
508,JALAN PRIMA 13,MERAH
509,JALAN PRIMA 13,MERAH
510,JALAN PRIMA 13,MERAH
511,JALAN PRIMA 13,MERAH
512,JALAN PRIMA 13,MERAH
513,JALAN PRIMA 13,MERAH
514,JALAN PRIMA 13,MERAH
515,JALAN PRIMA 13,MERAH
516,JALAN PRIMA 13,MERAH
517,JALAN PRIMA 13,MERAH
518,JALAN PRIMA 14,MERAH
519,JALAN PRIMA 14,MERAH
520,JALAN PRIMA 14,MERAH
521,JALAN PRIMA 14,MERAH
522,JALAN PRIMA 14,MERAH
523,JALAN PRIMA 14,MERAH
524,JALAN PRIMA 14,MERAH
525,JALAN PRIMA 14,MERAH
526,JALAN PRIMA 14,MERAH
527,JALAN PRIMA 14,MERAH
528,JALAN PRIMA 14,MERAH
529,JALAN PRIMA 14,MERAH
530,JALAN PRIMA 14,MERAH
531,JALAN PRIMA 14,MERAH
532,JALAN PRIMA 14,MERAH
533,JALAN PRIMA 14,MERAH
534,JALAN PRIMA 14,MERAH
535,JALAN PRIMA 14,MERAH
536,JALAN PRIMA 14,MERAH
537,JALAN PRIMA 14,MERAH
538,JALAN PRIMA 14,MERAH
539,JALAN PRIMA 14,MERAH
540,JALAN PRIMA 14,MERAH
541,JALAN PRIMA 14,MERAH
542,JALAN PRIMA 14,MERAH
543,JALAN PRIMA 14,MERAH
544,JALAN PRIMA 14,MERAH
545,JALAN PRIMA 14,MERAH
546,JALAN PRIMA 14,MERAH
547,JALAN PRIMA 14,MERAH
548,JALAN PRIMA 14,MERAH
549,JALAN PRIMA 14,MERAH
550,JALAN PRIMA 14,MERAH
551,JALAN PRIMA 14,MERAH
552,JALAN PRIMA 14,MERAH
553,JALAN PRIMA 14,MERAH
554,JALAN PRIMA 14,MERAH
555,JALAN PRIMA 14,MERAH
556,JALAN PRIMA 14,MERAH
557,JALAN PRIMA 14,MERAH
558,JALAN PRIMA 14,MERAH
559,JALAN PRIMA 14,MERAH
560,JALAN PRIMA 14,MERAH
561,JALAN PRIMA 14,MERAH
562,JALAN PRIMA 14,MERAH
563,JALAN PRIMA 14,MERAH
564,JALAN PRIMA 14,MERAH
565,JALAN PRIMA 14,MERAH
566,JALAN PRIMA 14,MERAH
567,JALAN PRIMA 14,MERAH
568,JALAN PRIMA 14,MERAH
569,JALAN PRIMA 14,MERAH
570,JALAN PRIMA 14,MERAH
571,JALAN PRIMA 14,MERAH
572,JALAN PRIMA 14,MERAH
573,JALAN PRIMA 14,MERAH
574,JALAN PRIMA 14,MERAH
575,JALAN PRIMA 14,MERAH
576,JALAN PRIMA 14,MERAH
577,JALAN PRIMA 14,MERAH
578,JALAN PRIMA 14,MERAH
579,JALAN PRIMA 14,MERAH
580,JALAN PRIMA 14,MERAH
581,JALAN PRIMA 14,MERAH
582,JALAN PRIMA 14,MERAH
